,Selected,vst_mean,vst_variable,vst_variance,vst_variance_expected,vst_variance_standardized,highly_variable,means,dispersions,dispersions_norm,mean,std
Fbxl21,1.0,0.28334323,1,20.060831,9.855663,1.8946774,False,0.004638287843172448,-0.1205265298987603,0.55114216,0.003379245620714766,0.04460042236776484
Tgfbi,1.0,13.551274,1,2858.5085,851.83215,3.355718,False,0.19077211877705358,1.1590922307870937,1.6147403,0.10405016215725955,0.3341152541088011
Smad5,0.0,30.6722,0,1860.7246,2082.1223,0.8936673,False,0.3969879885412419,-0.07527405814553069,-0.18906285,0.3213192541587562,0.36498835645593586
Trpc7,1.0,0.3621814,1,70.288086,13.494094,2.5343378,False,0.008176605663449233,1.764541252064909,2.1179795,0.003161164153862648,0.06977162671712231
Spock1,0.0,0.06757558,0,4.060674,1.4202913,1.2578243,False,0.0007205802032314619,-0.8252489530258648,-0.03461157,0.0005988014687577306,0.014640349286456251
Klhl3,0.0,18.644339,0,1392.9161,1186.0044,1.1744611,False,0.2529844014209536,0.1249789642841256,0.28412446,0.19097147152645244,0.31810633513292313
Hnrnpa0,0.0,30.925312,0,1525.9624,2103.241,0.725529,False,0.42158664115461253,-0.014974967483724405,-0.046579283,0.3476042983207598,0.355032358446287
1700066J03Rik,0.0,0.0065204506,0,0.0491864,0.019209249,1.0637547,False,9.483960058249013e-05,-2.598634009229842,-1.5086201,9.1509382553585e-05,0.0025453652709023417
Gm48295,0.0,0.07172496,0,2.20541,1.5558739,1.4174736,False,0.0011717071132698528,-0.5733131036364865,0.17479338,0.0009447729705588185,0.019464386984800075
Idnk,0.0,14.767042,0,659.19775,931.2974,0.7078273,False,0.207406924063324,-0.24389692098655794,0.4485987,0.17223293499189257,0.24198947346614935
Ubqln1,0.0,63.014225,0,3788.8586,5233.847,0.7239146,False,0.6764224796647588,-0.2551473733863018,-0.8006179,0.5897058733860321,0.4112712746628684
Gm48357,0.0,0.048606995,0,0.7129384,0.8304835,0.85846186,False,0.0006867034540192646,-1.6909976063531622,-0.7542077,0.0006313981947257924,0.010178893941561776
Gkap1,0.0,7.9928865,0,370.5385,490.91766,0.75478745,False,0.12168041103856604,-0.126833176529009,0.54590017,0.09624206328221845,0.1998629029103879
Gm26555,0.0,0.028452875,0,0.059688173,0.31814307,0.18761425,False,0.0005179400957552862,-3.019820748300973,-1.8587036,0.0005059819117479577,0.0048268354156976315
Kif27,0.0,0.119146414,0,3.819129,3.20686,1.1909248,False,0.00217878272827946,-0.4394085407742574,0.28609264,0.001712844260988287,0.027690290836821466
2210016F16Rik,0.0,34.377594,0,2423.4226,2400.6892,1.0094695,False,0.41777089243536103,-0.0821261173864974,-0.2052539,0.33702838572028454,0.38206534889740096
Hnrnpk,0.0,938.3681,0,283852.06,375248.4,0.7564378,False,2.718084514790053,0.7553742057179981,-0.81568277,2.6365947608182174,0.44284950047165167
Rmi1,0.0,16.621222,0,864.87244,1053.0997,0.8212636,False,0.23674227426093467,-0.03741620915037452,-0.099606745,0.1859295452414934,0.28954841087743965
Slc28a3,0.0,0.039122704,0,0.9676263,0.5701446,1.1186335,False,0.00058979686200095,-1.2206917552291918,-0.36329713,0.0005215125389082448,0.011015985852036489
4930455J16Rik,0.0,0.0029638412,0,0.0029568095,0.004172214,0.70869076,False,4.762013657344447e-05,-4.029378046832429,-2.6978312,4.720238399479087e-05,0.0009113818372198396
Ntrk2,1.0,4.7166567,1,1264.0525,288.31006,3.8052547,False,0.06933945165732264,1.1919005558568065,1.64201,0.0355687709619795,0.20085159088037502
Gm47423,1.0,0.11499704,1,8.639199,3.052107,1.7741028,False,0.0019063972936041941,0.17121932975965123,0.7936365,0.0012979871241559243,0.030030455198063088
Gm34672,0.0,0.027267339,0,0.34919673,0.29376504,1.188694,False,0.0004917310847779001,-1.3946970026324363,-0.5079274,0.00043984211241995916,0.009793019980881746
Agtpbp1,0.0,9.806758,0,593.09076,606.9616,0.97714704,False,0.1425336139937602,-0.061037395262283405,0.60058856,0.10877002255976212,0.23328749875981555
Naa35,0.0,44.3444,0,2819.2615,3318.4082,0.8495825,False,0.5246232188911499,-0.052216192089836466,-0.35647377,0.433199657499464,0.4091583025249216
