,Selected,vst_mean,vst_variable,vst_variance,vst_variance_expected,vst_variance_standardized,highly_variable,means,dispersions,dispersions_norm,mean,std
Haglr,0.0,0.34084174,0,8.010093,12.492222,0.6412064,False,0.003711010150623593,-1.3411384564195281,-0.3105762,0.003310165900939612,0.027068482386929826
Gm14424,0.0,0.29460582,0,12.155742,10.363783,1.1729059,False,0.0036263363284154866,-0.6559916994192126,0.22130798,0.002957582185733288,0.033710879526323644
Gm14426,0.0,0.023117961,0,0.39151743,0.21638195,1.3628576,False,0.0006787084380282299,-0.5904052045243986,0.27222323,0.0005450997004695331,0.015027565922419267
Hoxd1,0.0,0.1363367,0,5.504533,3.835821,1.4350339,False,0.0023540565996843436,-0.4845612653787939,0.35439062,0.0018531250321925851,0.028957278991959084
Mtx2,0.0,83.04979,0,4792.663,7614.7534,0.62939173,False,0.8173313797236571,-0.22667406446343305,-0.97303313,0.7208250981574355,0.44534770111104444
Gm13652,1.0,0.3473622,1,22.931463,12.796766,1.7919732,False,0.00427575299425742,-0.544167999494693,0.30811748,0.003434145862684477,0.037431785116790635
2600014E21Rik,0.0,0.039715473,0,0.8969983,0.5852632,1.364451,False,0.00029998071270970536,-1.9287371859691291,-0.76673317,0.0002802210395479972,0.006138781414785171
Hnrnpa3,0.0,84.41079,0,4370.0845,7789.105,0.5610509,False,0.8650431746687078,-0.14657629999369146,-0.7982608,0.7798942580633973,0.4012458260641001
Nfe2l2,0.0,59.7297,0,4467.336,4877.1553,0.9159717,False,0.6804460914428455,0.1255264961888237,0.026078867,0.565287787761593,0.46649846048818305
E030042O20Rik,0.0,0.23947836,0,3.9260087,7.929456,0.495117,False,0.0026061679587272646,-1.5057696144139763,-0.4383805,0.00236038444128549,0.021333974163364324
Gm13657,0.0,0.07172496,0,0.7973436,1.5558739,0.51247317,False,0.0008324171592333192,-2.2266128556118137,-0.9979761,0.000791033706568441,0.00892300476657333
Agps,0.0,43.043865,0,4424.7134,3194.7017,1.3850161,False,0.4028267831094816,-0.20050533209088944,-0.56166655,0.3332569653717461,0.3537169668613723
Ttc30b,0.0,3.0557203,0,157.75728,177.55383,0.8885039,False,0.04828807046807247,-0.23048979315373846,0.55162805,0.036998191992012416,0.13482042080070628
Ttc30a2,0.0,0.85951394,0,42.61904,38.965908,1.0937521,False,0.015319670773704875,-0.07562297377213198,0.67185223,0.011764682451945143,0.07224318120416555
Ttc30a1,0.0,5.8731475,0,206.0954,362.81274,0.56804895,False,0.0923524441537644,-0.5339276427967589,0.31606716,0.07551632501887587,0.16979582751196065
Pde11a,0.0,0.15471251,0,5.6978765,4.5064807,1.2643739,False,0.0008464694609557986,-0.6775846449544066,0.20454523,0.0006893355867800919,0.01642079327290208
Cyct,0.0,0.2145821,0,16.829372,6.8878517,1.460039,False,0.002212853411678083,-0.7641768057473305,0.13732313,0.0018317839834987863,0.025668519314846854
Rbm45,0.0,4.8500295,0,253.61154,296.91528,0.8541546,False,0.07329244068875423,-0.14115472541202365,0.6209795,0.05609528286605694,0.1649883221284226
Osbpl6,0.0,3.0349734,0,185.4632,176.16661,1.0527716,False,0.03169036156442325,0.064925643678513,0.7809611,0.02288627043958301,0.11542980459204008
Prkra,0.0,52.5412,0,3778.6624,4124.124,0.91623396,False,0.6026996617769331,0.052841378055718195,-0.15753599,0.496816360898088,0.4443793400895564
Pjvk,0.0,0.09543569,0,3.4422507,2.3677592,1.453801,False,0.0014283068590503975,-0.7143179120490949,0.17602894,0.0011749682471649872,0.020810975545967968
Fkbp7,0.0,24.542383,0,1644.0455,1596.2112,1.0299674,False,0.3136615685538785,0.01787680196170439,0.029079836,0.2499049705260939,0.3260056809919831
Plekha3,0.0,7.5080023,0,294.23465,460.95554,0.63831466,False,0.13038960868856664,-0.24070185734234592,0.5437004,0.10420627026607424,0.2066837480756969
Ttn,1.0,10.823355,1,5048.0376,672.73755,7.500236,False,0.01548318202965888,-0.08625526263881454,0.66359836,0.01131604590272007,0.08063639671100364
Ccdc141,1.0,2.9300532,1,328.93817,169.1699,1.9444249,False,0.008621743115376506,-0.36492702865261833,0.4472635,0.00671269271377167,0.05573130412992039
Sestd1,0.0,18.69591,0,1327.3137,1189.5125,1.1158469,False,0.224089772785971,-0.0748642266320748,0.67244124,0.17358734299323522,0.29096003073620186
Zfp385b,0.0,0.22228809,0,8.716276,7.205995,1.2095867,False,0.002356921870520954,-0.49410024289517507,0.34698543,0.0018716918458068583,0.02834293410270444
Gm13727,0.0,0.009484292,0,0.03668342,0.039531514,0.9279539,False,0.0003876364980432937,-1.271826882061016,-0.25676915,0.0003430941747461929,0.008989991092466043
Cwc22,0.0,137.21873,0,13374.09,15859.835,0.8432679,False,1.1974294187426135,0.750989932658572,0.6617335,1.0281422202480908,0.5702345426571763
4930440I19Rik,0.0,0.069946654,0,1.6178803,1.4974586,1.0804175,False,0.00140189674835011,-0.5952691480445815,0.2684473,0.0011302342143039534,0.02138058905020998
