"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Il17ra",3.06584008940472e-06,0.401606036172562,0.839,0.498,0.0508684187634031,"0","Il17ra"
"Grk3",3.24067155467271e-06,0.537917262891437,0.839,0.556,0.0537692224351296,"0","Grk3"
"Lgals9",3.46110294274165e-06,0.505553374985311,1,0.805,0.0574266200259694,"0","Lgals9"
"Lmo2",3.69612920019451e-06,0.264757533562216,1,0.912,0.0613261756896274,"0","Lmo2"
"Itih5",3.82008155862465e-06,0.381130875056708,0.839,0.517,0.0633827932207003,"0","Itih5"
"Pgm2l1",3.83504814327534e-06,0.455141277362236,0.839,0.566,0.0636311187932244,"0","Pgm2l1"
"Msi2",4.40386219130003e-06,0.283896545580215,0.964,0.8,0.0730688814780502,"0","Msi2"
"1500011B03Rik",4.70302908891718e-06,0.301591585203574,0.875,0.698,0.0780326586433138,"0","1500011B03Rik"
"Mirt1",4.79202704774418e-06,0.260608118341799,0.5,0.2,0.0795093127761714,"0","Mirt1"
"Adi1",4.80808844481713e-06,0.580444765627047,0.946,0.737,0.0797758034764058,"0","Adi1"
"Bcas2",4.8373384689275e-06,0.311376727797648,1,0.917,0.0802611198764451,"0","Bcas2"
"Il18rap",4.90163454059236e-06,0.632934801761541,0.607,0.307,0.0813279202975084,"0","Il18rap"
"Rab10",4.990372557011e-06,0.513183633364789,1,0.956,0.0828002614659265,"0","Rab10"
"Syce2",5.26991144160241e-06,0.40993150323319,0.929,0.649,0.0874383706390672,"0","Syce2"
"Tmpo",5.3859647001682e-06,0.661075624867378,1,0.966,0.0893639263051907,"0","Tmpo"
"Stk17b",5.43361536357429e-06,0.320144381809179,0.946,0.805,0.0901545461124247,"0","Stk17b"
"Plppr3",5.48027742799652e-06,0.357263190200194,0.768,0.488,0.0909287630853182,"0","Plppr3"
"Dsg2",5.62970113436498e-06,0.286015478197518,0.321,0.093,0.0934080012213837,"0","Dsg2"
"Runx3",5.84759176531762e-06,0.348353354185673,0.304,0.078,0.09702324257015,"0","Runx3"
"Snap23",6.140032831062e-06,0.638726507036772,0.946,0.907,0.101875424732981,"0","Snap23"
"Mlkl",6.88514738071294e-06,0.297242983922268,0.429,0.161,0.114238365340789,"0","Mlkl"
"Sfr1",7.28435538596162e-06,0.453564492883579,1,0.985,0.120862024563875,"0","Sfr1"
"Camk2d",7.6423507698946e-06,0.585904598694001,0.875,0.61,0.126801883974091,"0","Camk2d"
"Sash3",7.79110357752024e-06,0.403063538258267,0.982,0.722,0.129269990558216,"0","Sash3"
"Hoxa7",8.16994139793182e-06,0.387471175676685,0.946,0.678,0.135555667674485,"0","Hoxa7"
"Hemgn",8.3375601955094e-06,0.549892188280572,0.339,0.107,0.138336798763892,"0","Hemgn"
"Pts",8.62019363099709e-06,0.324333133635822,0.982,0.839,0.143026252725504,"0","Pts"
"Amd1",8.7585399636901e-06,0.446897695713318,1,0.839,0.145321695077546,"0","Amd1"
"Trim30a",9.3677966598292e-06,0.448774606733876,0.821,0.488,0.155430482179886,"0","Trim30a"
"Tnik",9.77113646239698e-06,0.500090869807454,0.5,0.229,0.162122696184091,"0","Tnik"
"P2rx1",9.92217087168706e-06,0.340207261089562,0.911,0.566,0.164628659103032,"0","P2rx1"
"Sp110",1.08859540673895e-05,0.622694511077322,0.982,0.654,0.180619749886126,"0","Sp110"
"Plscr3",1.14904213645785e-05,0.398326381408969,0.946,0.878,0.190649071281086,"0","Plscr3"
"Pcna",1.17949195155377e-05,0.691493662414826,1,0.98,0.195701304601802,"0","Pcna"
"Wdfy4",1.2240295559198e-05,0.34088421279775,0.875,0.546,0.203090983918213,"0","Wdfy4"
"Cd37",1.24187627222732e-05,0.39846762718757,0.625,0.332,0.206052111087957,"0","Cd37"
"Lta4h",1.25567235648537e-05,0.353454458579209,1,0.932,0.208341157388052,"0","Lta4h"
"Slc2a3",1.26722800378616e-05,0.348857312874404,0.982,0.756,0.2102584703882,"0","Slc2a3"
"Mcm2",1.38412332912946e-05,0.673570482386158,0.946,0.873,0.229653742769159,"0","Mcm2"
"Nrip1",1.4229154414392e-05,0.545103934099087,0.911,0.741,0.236090130043593,"0","Nrip1"
"Hprt",1.45689459760451e-05,0.460646155519526,0.982,0.917,0.241727951634541,"0","Hprt"
"Pik3ap1",1.46886437699692e-05,0.426302386353416,0.786,0.434,0.243713977431329,"0","Pik3ap1"
"Nifk",1.50097659454047e-05,0.542375494465752,0.982,0.878,0.249042036566155,"0","Nifk"
"AI467606",1.51403553973728e-05,0.479973826944531,0.786,0.556,0.25120877675321,"0","AI467606"
"Arhgap4",1.56426165874075e-05,0.35528855597187,0.893,0.551,0.259542294418265,"0","Arhgap4"
"Itgal",1.59666146151727e-05,0.309286864272052,0.464,0.18,0.264918069694946,"0","Itgal"
"Zzz3",1.69422830769701e-05,0.548318297401739,0.982,0.844,0.281106360813087,"0","Zzz3"
"Repin1",1.79424122179109e-05,0.770133862482425,0.821,0.644,0.297700503519577,"0","Repin1"
"Polr2m",1.92025500468009e-05,0.588139283233538,1,0.922,0.31860871037652,"0","Polr2m"
"Fbxo3",1.94955152400652e-05,0.638070436738816,1,0.898,0.323469588863162,"0","Fbxo3"
"Nfkbiz",1.97323932643957e-05,0.398759161221256,0.911,0.683,0.327399869042854,"0","Nfkbiz"
"Pum2",2.03066597505459e-05,0.539562164775784,1,1,0.336928098581058,"0","Pum2"
"Fmnl1",2.10906313927095e-05,0.452487358856418,0.982,0.668,0.349935756067836,"0","Fmnl1"
"Nfx1",2.13929177240072e-05,0.530117111705113,0.964,0.941,0.354951290876727,"0","Nfx1"
"Arglu1",2.14730399457116e-05,0.456435574090625,0.982,0.927,0.356280678779247,"0","Arglu1"
"Cops3",2.31752990453584e-05,0.502270604347949,0.964,0.878,0.384524561760586,"0","Cops3"
"Nrm",2.33786881821373e-05,0.410230248012437,0.857,0.717,0.387899194318022,"0","Nrm"
"Gimap6",2.36639045813373e-05,0.531417152784178,1,0.883,0.392631504813549,"0","Gimap6"
"Nop56",2.37754786238428e-05,0.458735587751364,1,0.917,0.3944827413268,"0","Nop56"
"Tia1",2.47582927762469e-05,0.523020423546955,1,0.888,0.410789593743489,"0","Tia1"
"Bhlhb9",2.60452393930487e-05,0.611922065478803,0.911,0.746,0.432142612009464,"0","Bhlhb9"
"Traf3ip3",2.66704788666728e-05,0.291484850276635,0.946,0.59,0.442516585355834,"0","Traf3ip3"
"Igf2bp2",2.67986208177813e-05,0.530586728392665,1,0.849,0.444642716608627,"0","Igf2bp2"
"Wdr43",2.70460999843047e-05,0.48546402362288,1,0.888,0.448748890939583,"0","Wdr43"
"Morc3",2.78845620708412e-05,0.563333737911173,0.946,0.839,0.462660653879397,"0","Morc3"
"Mtf2",2.86613652079105e-05,0.458852465922425,0.982,0.941,0.47554937152965,"0","Mtf2"
"Abhd8",2.95978477202513e-05,0.276556010624044,0.929,0.707,0.491087489374409,"0","Abhd8"
"H3f3a",2.99816566647805e-05,0.311012826760768,1,1,0.497455647382038,"0","H3f3a"
"Rbm3",3.05120268914958e-05,0.300530446616015,1,1,0.506255550183699,"0","Rbm3"
"Emb",3.21282469287751e-05,0.499739252369881,1,0.839,0.533071873042236,"0","Emb"
"Cep83",3.22539742845525e-05,0.640852788750767,0.893,0.82,0.535157941329295,"0","Cep83"
"Macrod2",3.26233022613394e-05,0.268090251535614,0.696,0.41,0.541285831120143,"0","Macrod2"
"Pla2g4a",3.30639047949065e-05,0.417687084465858,0.964,0.649,0.548596308357089,"0","Pla2g4a"
"Hhex",3.6867949976645e-05,0.52789470081557,0.964,0.805,0.611713026012494,"0","Hhex"
"Ezh2",3.91303889806004e-05,0.59415484395388,1,0.81,0.649251413966121,"0","Ezh2"
"Prps2",4.14550207897959e-05,0.574351522645181,0.946,0.668,0.687821704944293,"0","Prps2"
"Aqp9",4.16103799769741e-05,0.351486739579163,0.393,0.156,0.690399424577954,"0","Aqp9"
"Rad21",4.17119374281388e-05,0.562928165760026,1,0.956,0.692084465807679,"0","Rad21"
"Bmi1",4.49961293287794e-05,0.50005658692567,0.911,0.805,0.746575777823107,"0","Bmi1"
